topo,theta,b,r,L,omega,rho_mean,rho_std,seconds
ER_z4,0.2,1.9,1.0,2,0.0,0.0,0.0,3.2894320487976074
ER_z4,0.2,1.9,1.0,4,0.0,0.0,0.0,10.140031099319458
ER_z4,0.2,2.0,0.0,2,1.0,0.09602405708460755,0.28586763669516224,3.394812822341919
ER_z4,0.2,2.0,0.0,4,1.0,0.851066768603466,0.35633691751581165,10.063752889633179
ER_z4,0.2,2.0,0.1,2,0.8996452103395844,0.0009268093781855253,0.003264855722710453,3.3004398345947266
ER_z4,0.2,2.0,0.1,4,0.8996452103395844,0.3926601427115189,0.48811458270409486,10.410145998001099
ER_z4,0.2,2.0,0.2,2,0.799797263051191,0.0003397553516819573,0.0021383867143082895,3.246818780899048
ER_z4,0.2,2.0,0.2,4,0.799797263051191,0.040948827726809384,0.19678022804947035,10.285486936569214
ER_z4,0.2,2.0,0.3,2,0.6999493157627977,0.00021478083588175338,0.0012309784389324596,3.2806248664855957
ER_z4,0.2,2.0,0.3,4,0.6999493157627977,0.010380835881753312,0.09997590589969128,10.145324230194092
ER_z4,0.2,2.0,0.4,2,0.5995945261023822,0.0,0.0,3.2772512435913086
ER_z4,0.2,2.0,0.4,4,0.5995945261023822,0.0,0.0,10.115453004837036
ER_z4,0.2,2.0,0.5,2,0.49923973644196656,0.0,0.0,3.3007450103759766
ER_z4,0.2,2.0,0.5,4,0.49923973644196656,0.0,0.0,10.084264993667603
ER_z4,0.2,2.0,0.6,2,0.3998986315255955,0.0,0.0,3.2825541496276855
ER_z4,0.2,2.0,0.6,4,0.3998986315255955,0.0,0.0,10.113868951797485
ER_z4,0.2,2.0,0.7,2,0.3000506842372022,3.353720693170237e-05,0.00033537206931702376,3.274783134460449
ER_z4,0.2,2.0,0.7,4,0.3000506842372022,0.0,0.0,10.010916948318481
ER_z4,0.2,2.0,0.8,2,0.2002027369488089,0.0,0.0,3.2721540927886963
ER_z4,0.2,2.0,0.8,4,0.2002027369488089,0.0,0.0,10.060366868972778
ER_z4,0.2,2.0,0.9,2,0.099341104916371,0.0,0.0,3.2678568363189697
ER_z4,0.2,2.0,0.9,4,0.099341104916371,0.0,0.0,10.040611028671265
ER_z4,0.2,2.0,1.0,2,0.0,0.0,0.0,3.284169912338257
ER_z4,0.2,2.0,1.0,4,0.0,0.0,0.0,10.128377199172974
