topo,z,regime,b,theta,L,sweep,value,K,update_rule,rho_mean,rho_std,seconds
ER,16,coop,1.2,0.0,1,K,0.05,0.05,fermi,0.2714475,0.02692912547294051,5.474845886230469
ER,16,coop,1.2,0.0,1,K,0.2,0.2,fermi,0.1606275,0.030155573496101644,5.002027988433838
ER,16,coop,1.2,0.0,1,async,1.0,0.1,fermi_async,0.3936188,0.22555097061644444,9.831860065460205
ER,16,coop,1.2,0.0,4,N,250.0,0.1,fermi,0.32,0.4688261722621506,2.677932024002075
ER,16,coop,1.2,0.0,4,N,500.0,0.1,fermi,0.9594324000000001,0.19685002693749606,8.56275725364685
ER,16,coop,1.2,0.0,4,N,1000.0,0.1,fermi,0.9984317999999999,0.004137483834995522,30.087947130203247
ER,16,coop,1.2,0.0,4,N,2000.0,0.1,fermi,0.9997375500000001,0.0014815690043485724,111.6529369354248
ER,16,coop,1.2,0.0,4,K,0.05,0.05,fermi,0.9978736,0.0048127011084833655,29.877415895462036
ER,16,coop,1.2,0.0,4,K,0.2,0.2,fermi,0.9971012,0.0057988308260800365,30.038928270339966
ER,16,coop,1.2,0.0,4,async,1.0,0.1,fermi_async,0.9959249,0.006412650454257347,32.3519811630249
ER,16,defect,1.4,0.1,1,N,250.0,0.1,fermi,0.0,0.0,1.0102620124816895
ER,16,defect,1.4,0.1,1,N,500.0,0.1,fermi,0.0,0.0,1.6898181438446045
ER,16,defect,1.4,0.1,1,N,1000.0,0.1,fermi,0.0,0.0,3.24454402923584
ER,16,defect,1.4,0.1,1,N,2000.0,0.1,fermi,0.00790405,0.013581025658129346,5.707190036773682
ER,16,defect,1.4,0.1,1,K,0.05,0.05,fermi,0.0005389999999999998,0.0040850863274881095,3.2911810874938965
ER,16,defect,1.4,0.1,1,K,0.2,0.2,fermi,0.0,0.0,3.2259702682495117
ER,16,defect,1.4,0.1,1,async,1.0,0.1,fermi_async,0.0032399,0.011090188082583212,5.708707094192505
ER,16,defect,1.4,0.1,4,N,250.0,0.1,fermi,0.0,0.0,2.6826303005218506
ER,16,defect,1.4,0.1,4,N,500.0,0.1,fermi,0.0,0.0,8.354226112365723
ER,16,defect,1.4,0.1,4,N,1000.0,0.1,fermi,0.01,0.09999999999999999,29.285924911499023
ER,16,defect,1.4,0.1,4,N,2000.0,0.1,fermi,0.011221950000000001,0.014582629418422815,116.4724771976471
ER,16,defect,1.4,0.1,4,K,0.05,0.05,fermi,0.0008346999999999997,0.004787835270323903,29.524911165237427
ER,16,defect,1.4,0.1,4,K,0.2,0.2,fermi,0.0,0.0,29.08566904067993
ER,16,defect,1.4,0.1,4,async,1.0,0.1,fermi_async,0.12628349999999997,0.3227002498218756,33.78585886955261
ER,16,transition,1.2,0.4,1,N,250.0,0.1,fermi,0.0,0.0,1.0001659393310547
ER,16,transition,1.2,0.4,1,N,500.0,0.1,fermi,0.002481399999999999,0.012554324863077134,1.701355218887329
ER,16,transition,1.2,0.4,1,N,1000.0,0.1,fermi,0.10637910000000002,0.0339677764143512,3.8196818828582764
ER,16,transition,1.2,0.4,1,N,2000.0,0.1,fermi,0.12284420000000001,0.007115139844732574,6.067260980606079
ER,16,transition,1.2,0.4,1,K,0.05,0.05,fermi,0.11693660000000003,0.03127499589322455,3.765655994415283
ER,16,transition,1.2,0.4,1,K,0.2,0.2,fermi,0.08242390000000002,0.03527830004880243,3.7836670875549316
ER,16,transition,1.2,0.4,1,async,1.0,0.1,fermi_async,0.15213629999999997,0.008258845231359857,6.322378873825073
ER,16,transition,1.2,0.4,4,N,250.0,0.1,fermi,0.12,0.32659863237109044,2.64030122756958
ER,16,transition,1.2,0.4,4,N,500.0,0.1,fermi,0.2419182,0.42736949251920314,8.619351863861084
ER,16,transition,1.2,0.4,4,N,1000.0,0.1,fermi,0.5897393999999999,0.44515857910995255,32.274768352508545
ER,16,transition,1.2,0.4,4,N,2000.0,0.1,fermi,0.7633326999999999,0.390904885784912,113.45091485977173
ER,16,transition,1.2,0.4,4,K,0.05,0.05,fermi,0.6468651999999999,0.4339778662290593,36.08503317832947
ER,16,transition,1.2,0.4,4,K,0.2,0.2,fermi,0.6210888,0.45404659360488764,32.256098985672
ER,16,transition,1.2,0.4,4,async,1.0,0.1,fermi_async,0.9621826,0.16644727549721094,32.237494707107544
ER,16,bistable,1.3,0.2,1,N,250.0,0.1,fermi,0.0,0.0,0.9713971614837646
ER,16,bistable,1.3,0.2,1,N,500.0,0.1,fermi,0.0,0.0,1.6676759719848633
ER,16,bistable,1.3,0.2,1,N,1000.0,0.1,fermi,0.013652199999999998,0.023172238640147818,3.3353140354156494
ER,16,bistable,1.3,0.2,1,N,2000.0,0.1,fermi,0.05903495000000001,0.013666433248099063,5.73442268371582
ER,16,bistable,1.3,0.2,1,K,0.05,0.05,fermi,0.0253247,0.031200394469631406,3.4308559894561768
ER,16,bistable,1.3,0.2,1,K,0.2,0.2,fermi,0.0005306999999999998,0.005306999999999998,3.245083808898926
ER,16,bistable,1.3,0.2,1,async,1.0,0.1,fermi_async,0.06981310000000002,0.021815512907659138,6.0386481285095215
ER,16,bistable,1.3,0.2,4,N,250.0,0.1,fermi,0.1,0.30151134457776363,2.6456968784332275
ER,16,bistable,1.3,0.2,4,N,500.0,0.1,fermi,0.17985059999999997,0.38580519724054796,8.364563226699829
ER,16,bistable,1.3,0.2,4,N,1000.0,0.1,fermi,0.4472496,0.4907310678728176,31.019767999649048
ER,16,bistable,1.3,0.2,4,N,2000.0,0.1,fermi,0.48183280000000006,0.47038796634853997,116.67307806015015
ER,16,bistable,1.3,0.2,4,K,0.05,0.05,fermi,0.7057587,0.44924446048681665,30.224040985107422
ER,16,bistable,1.3,0.2,4,K,0.2,0.2,fermi,0.17106719999999995,0.3759474617874205,29.37924575805664
ER,16,bistable,1.3,0.2,4,async,1.0,0.1,fermi_async,0.959509,0.18561792037582595,31.86068630218506
