topo,z,corr,L,regime,b,theta,orig,realization_mean,realization_std,diff,zscore
ER,16,corr,4,coop,1.2,0.0,0.99617,0.99838147,0.0014763861163515784,-0.002211469999999993,-1.4978940640981793
ER,16,corr,4,defect,1.4,0.1,0.0,0.006015229999999981,0.0069362688234541675,-0.006015229999999981,-0.8672140819658253
ER,16,corr,4,transition,1.2,0.4,0.5314763,0.60154076,0.07137427931836508,-0.07006446,-0.9816485808210736
ER,16,uncorr,1,coop,1.1,0.0,0.9974794,0.99897977,0.0009401365539702894,-0.0015003700000000286,-1.5959064602517774
ER,16,uncorr,1,defect,1.4,0.0,0.0,0.00010569999999997999,0.00025303416106654033,-0.00010569999999997999,-0.4177301576769474
ER,16,uncorr,1,transition,1.1,0.2,0.4512159,0.4509408,0.048081283753521706,0.0002751000000000281,0.00572156104255179
ER,16,uncorr,2,coop,1.1,0.1,0.9966239,0.997147,0.0036453400332174444,-0.0005230999999999986,-0.1434982732017734
ER,16,uncorr,2,defect,1.4,0.0,0.0,2.9839999999990004e-05,9.436236537939283e-05,-2.9839999999990004e-05,-0.31622776601683794
ER,16,uncorr,2,transition,1.2,0.0,0.5190041999999999,0.47565915,0.15332005505508364,0.04334504999999994,0.28270959063005335
ER,16,uncorr,3,coop,1.1,0.0,0.9967442,0.99835774,0.001828817435272205,-0.0016135400000000244,-0.8822859892298992
ER,16,uncorr,3,defect,1.4,0.1,0.0,6.105999999998001e-05,0.00010719679928882731,-6.105999999998001e-05,-0.5696065591983029
ER,16,uncorr,3,transition,1.2,0.2,0.5154713000000001,0.53550298,0.08178937027550709,-0.020031679999999885,-0.24491789009407053
ER,16,uncorr,4,coop,1.2,0.0,0.99684,0.9980547999999999,0.0019281704045257119,-0.0012147999999999604,-0.6300273031619188
ER,16,uncorr,4,defect,1.4,0.1,0.0,0.001,0.0031622776601683794,-0.001,-0.31622776601683794
ER,16,uncorr,4,transition,1.2,0.3,0.5355943,0.5452991599999999,0.07571137765105353,-0.009704859999999926,-0.12818231950194717
