topo,z,b,theta,L,net_realization,rho_mean,rho_std,seconds
BA,4,2.0,0.3,4,14,1.0,0.0,3.8127059936523438
BA,4,1.8,0.3,1,15,0.814061,0.10171155965458611,0.6982626914978027
BA,4,1.8,0.3,2,15,0.9646585,0.03296142614361606,0.7486109733581543
BA,4,1.8,0.3,3,15,0.969896,0.03098548597412398,1.8475987911224365
BA,4,1.8,0.3,4,15,0.97657,0.029494892689020665,761.9735050201416
BA,4,2.0,0.3,1,15,0.6883590000000002,0.15600392970421587,0.6888167858123779
BA,4,2.0,0.3,2,15,0.9636035,0.03392895460796688,0.7609529495239258
BA,4,2.0,0.3,3,15,0.9729569999999998,0.03077459685485658,1.8909311294555664
BA,4,2.0,0.3,4,15,0.9765385,0.029530757253199105,4.140625238418579
BA,4,1.8,0.3,1,16,0.9646195000000002,0.04585615925742248,0.5618607997894287
BA,4,1.8,0.3,2,16,1.0,0.0,0.7157230377197266
BA,4,1.8,0.3,3,16,1.0,0.0,1.7779829502105713
BA,4,1.8,0.3,4,16,1.0,0.0,4.238788843154907
BA,4,2.0,0.3,1,16,0.7809965000000001,0.16654345847492624,0.7419219017028809
BA,4,2.0,0.3,2,16,1.0,0.0,0.7131602764129639
BA,4,2.0,0.3,3,16,1.0,0.0,1.749748945236206
BA,4,2.0,0.3,4,16,1.0,0.0,3.926175832748413
BA,4,1.8,0.3,1,17,0.8668914999999998,0.08968571770794634,0.849510908126831
BA,4,1.8,0.3,2,17,0.9983259999999999,0.004103935723309287,0.7024209499359131
BA,4,1.8,0.3,3,17,1.0,0.0,1.6628100872039795
BA,4,1.8,0.3,4,17,0.9996685,0.001482513069082391,3.687791109085083
BA,4,2.0,0.3,1,17,0.598257,0.12990279362094664,0.9313180446624756
BA,4,2.0,0.3,2,17,0.9977775,0.004574527729435047,0.7020249366760254
BA,4,2.0,0.3,3,17,0.999422,0.00258489458198981,1.6588940620422363
BA,4,2.0,0.3,4,17,1.0,0.0,3.6916298866271973
BA,4,1.8,0.3,1,18,0.9030094999999999,0.07275500926686118,0.6788899898529053
BA,4,1.8,0.3,2,18,0.9823744999999999,0.05475500529631969,0.8073849678039551
BA,4,1.8,0.3,3,18,0.9924310000000001,0.033849597043391855,2.112478017807007
BA,4,1.8,0.3,4,18,0.9905435,0.04229075365845343,4.383126735687256
BA,4,2.0,0.3,1,18,0.790144,0.1439961251086841,0.7933218479156494
BA,4,2.0,0.3,2,18,0.9676825000000001,0.10008974530127296,0.8424530029296875
BA,4,2.0,0.3,3,18,0.9688275000000001,0.09623154099823376,2.166811227798462
BA,4,2.0,0.3,4,18,0.9855535,0.06460671207390146,4.382090091705322
BA,4,1.8,0.3,1,19,0.782481,0.20255109928114434,0.7349700927734375
BA,4,1.8,0.3,2,19,0.9079194999999999,0.0988631852865363,0.875525951385498
BA,4,1.8,0.3,3,19,0.9393414999999999,0.08137161158116384,1.8856399059295654
BA,4,1.8,0.3,4,19,0.941422,0.07836377389423883,4.218916177749634
BA,4,2.0,0.3,1,19,0.6556460000000001,0.20894419855424,1.0568561553955078
BA,4,2.0,0.3,2,19,0.9085425,0.10451599051039227,0.9025559425354004
