topo,z,corr,L,regime,b,theta,between_network_mean,between_network_std,n_realizations,within_network_std,ratio
ER,4,corr,3,bistable,1.9,0.3,0.6522272349281046,0.134410488476772,10,0.5011956787623679,0.2681796634972587
ER,4,corr,3,coop,1.4,0.2,1.0,0.0,10,0.0,
ER,4,corr,3,defect,1.7,0.5,0.0006042783651035,0.0009774456201007,10,0.0,
ER,4,corr,3,transition,2.0,0.0,0.6333467694298804,0.1498418879518514,10,0.5007458595854316,0.29923739774085356
ER,4,corr,4,coop,1.0,0.0,1.0,0.0,10,0.0002328907048008,0.0
ER,4,corr,4,defect,1.7,0.5,0.0026140413493865,0.006243201508452,10,0.0,
ER,4,corr,4,transition,1.7,0.4,0.6187607141179192,0.0939576004837692,10,0.498314002548009,0.18855099395830655
ER,4,uncorr,1,bistable,1.3,0.2,0.7849773868361926,0.05664315207364,10,0.3142321897111504,0.18025891022083929
ER,4,uncorr,1,coop,1.0,0.0,1.0,0.0,10,0.0002328907048008,0.0
ER,4,uncorr,1,defect,1.7,0.0,0.0005253039488827,0.000759103811331,10,0.0,
ER,4,uncorr,1,transition,1.3,0.5,0.4047274643530249,0.0229563962602612,10,0.030646597703557,0.7490683462587681
ER,4,uncorr,2,bistable,1.5,0.0,0.863926386816814,0.0726437185793188,10,0.4735036842297573,0.15341743052641174
ER,4,uncorr,2,coop,1.3,0.1,0.9986086570247934,0.004399812808128,10,0.0,
ER,4,uncorr,2,defect,1.7,0.0,0.0006416459021694,0.0008024863920165,10,0.0,
ER,4,uncorr,2,transition,1.3,0.6,0.4057040760028959,0.0246489325917079,10,0.0299046939866767,0.8242496178924159
ER,4,uncorr,3,bistable,1.5,0.1,0.4616558223928768,0.0842579197652313,10,0.4458691565603656,0.18897454225188984
ER,4,uncorr,3,coop,1.2,0.1,0.9999931370558376,2.1702535007850325e-05,10,0.0,
ER,4,uncorr,3,defect,1.7,0.1,0.0004110336617587,0.0006537402173616,10,0.0,
ER,4,uncorr,3,transition,1.3,0.3,0.4439075801405583,0.0286220541662376,10,0.1626867074316163,0.17593357575491278
ER,4,uncorr,4,bistable,1.5,0.1,0.6709577498417655,0.0630958993504973,10,0.4955246143532648,0.12733151396091003
ER,4,uncorr,4,coop,1.1,0.3,0.9999191272734704,0.0001179773467519,10,0.0,
ER,4,uncorr,4,defect,1.7,0.0,0.0048568206184804,0.0071413377757071,10,0.0,
ER,4,uncorr,4,transition,1.4,0.2,0.68841354957784,0.0896882238198466,10,0.4184049224775354,0.21435747765291183
ER,16,corr,1,bistable,1.1,0.2,0.79084664,0.0489085895675959,10,0.2974270391963227,0.1644389484552304
ER,16,corr,1,coop,1.1,0.1,0.99858344,0.0013944627425803,10,0.0075415921449525,0.18490296422534566
ER,16,corr,1,defect,1.4,0.0,0.0017364799999999,0.0011818191803787,10,0.0,
ER,16,corr,1,transition,1.1,0.3,0.31418221,0.0102015119611915,10,0.026607692610608,0.3834046082268834
ER,16,corr,2,coop,1.2,0.0,0.99870491,0.0012101095849826,10,0.0054625275387051,0.2215292419870268
ER,16,corr,2,defect,1.4,0.1,0.0,0.0,10,0.0,
ER,16,corr,2,transition,1.2,0.3,0.41599248,0.0607338857185051,10,0.4260951435152397,0.14253597264089185
ER,16,corr,3,coop,1.1,0.2,0.99700775,0.0027944424338517,10,0.0079342532411659,0.3521998036756727
ER,16,corr,3,defect,1.4,0.1,6.173999999999997e-05,0.0001303722806257,10,0.0,
ER,16,corr,3,transition,1.2,0.4,0.3467094,0.0477316594834777,10,0.4120641184725572,0.11583551526012462
ER,16,corr,4,bistable,1.3,0.2,0.40393637,0.0770633691883367,10,0.486466686854238,0.15841448401466288
ER,16,corr,4,coop,1.2,0.0,0.99838147,0.0014763861163515,10,0.0076044027651186,0.19414885849072644
ER,16,corr,4,defect,1.4,0.1,0.00601523,0.0069362688234541,10,0.0,
ER,16,corr,4,transition,1.2,0.4,0.60154076,0.071374279318365,10,0.449411612717971,0.15881716737737273
ER,16,uncorr,1,coop,1.1,0.0,0.99897977,0.0009401365539702,10,0.006737360604806,0.13954078000509088
ER,16,uncorr,1,defect,1.4,0.0,0.0001056999999999,0.0002530341610665,10,0.0,
ER,16,uncorr,1,transition,1.1,0.2,0.4509408,0.0480812837535216,10,0.2678661847858126,0.17949740013644383
ER,16,uncorr,2,coop,1.1,0.1,0.997147,0.0036453400332174,10,0.0074209838841007,0.4912205834360406
ER,16,uncorr,2,defect,1.4,0.0,2.983999999999998e-05,9.436236537942436e-05,10,0.0,
ER,16,uncorr,2,transition,1.2,0.0,0.47565915,0.1533200550550836,10,0.4013654798868583,0.3819961175991101
ER,16,uncorr,3,coop,1.1,0.0,0.99835774,0.0018288174352722,10,0.0067412375119053,0.2712880879871736
ER,16,uncorr,3,defect,1.4,0.1,6.105999999999997e-05,0.0001071967992888,10,0.0,
ER,16,uncorr,3,transition,1.2,0.2,0.53550298,0.081789370275507,10,0.4472845289044578,0.18285758838079022
ER,16,uncorr,4,coop,1.2,0.0,0.9980548,0.0019281704045257,10,0.0067543919120089,0.2854691332164972
ER,16,uncorr,4,defect,1.4,0.1,0.001,0.0031622776601683,10,0.0,
ER,16,uncorr,4,transition,1.2,0.3,0.54529916,0.0757113776510534,10,0.44504702520855,0.1701199499436602
