topo,z,regime,b,theta,L,net_realization,rho_mean,rho_std,seconds
BA,16,defect,2.0,0.6,1,5,0.001284699999999999,0.006706823068090183,3.289557933807373
BA,16,defect,2.0,0.6,4,5,0.0014157999999999992,0.006721983109863703,28.80459690093994
BA,16,defect,2.0,0.6,1,6,0.0,0.0,3.241766929626465
BA,16,defect,2.0,0.6,4,6,0.0,0.0,28.427157878875732
BA,16,defect,2.0,0.6,1,7,0.004702199999999998,0.013810662955583529,3.2722511291503906
BA,16,defect,2.0,0.6,4,7,0.005293799999999999,0.014267966931684287,29.116438150405884
BA,16,defect,2.0,0.6,1,8,0.002858799999999999,0.01051583416769322,3.2303411960601807
BA,16,defect,2.0,0.6,4,8,0.003403999999999999,0.011210229004950535,28.70631694793701
BA,16,defect,2.0,0.6,1,9,0.0,0.0,3.1790249347686768
BA,16,defect,2.0,0.6,4,9,0.0,0.0,27.975768089294434
BA,16,transition,1.7,0.2,1,0,0.09658929999999998,0.2524030477303027,3.619647979736328
BA,16,transition,1.7,0.2,4,0,0.53093,0.4873487440895447,30.744269132614136
BA,16,transition,1.7,0.2,1,1,0.0696755,0.19463876318994403,3.5161569118499756
BA,16,transition,1.7,0.2,4,1,0.45543890000000004,0.482242043870664,30.39889931678772
BA,16,transition,1.7,0.2,1,2,0.11124590000000001,0.24860088893238033,3.7997660636901855
BA,16,transition,1.7,0.2,4,2,0.4588512,0.4738877779873819,32.190305948257446
BA,16,transition,1.7,0.2,1,3,0.0570599,0.14211518027158906,3.8101582527160645
BA,16,transition,1.7,0.2,4,3,0.4329566,0.4734396700768374,32.56222319602966
BA,16,transition,1.7,0.2,1,4,0.1258332,0.2657565515479659,3.6072349548339844
BA,16,transition,1.7,0.2,4,4,0.49352140000000005,0.48089290205671065,30.654477834701538
BA,16,transition,1.7,0.2,1,5,0.04486999999999999,0.10569540308993307,3.5840508937835693
BA,16,transition,1.7,0.2,4,5,0.5353829,0.48709930143780955,31.044162034988403
BA,16,transition,1.7,0.2,1,6,0.0396528,0.1421526803669743,3.4334747791290283
BA,16,transition,1.7,0.2,4,6,0.4695438,0.4926142285841893,29.94904375076294
BA,16,transition,1.7,0.2,1,7,0.055471000000000006,0.10536909374271765,3.504995107650757
