topo,z,corr,L,regime,b,theta,net_realization,rho_mean,rho_std,seconds
BA,4,uncorr,1,bistable,2.0,0.2,9,0.8022311999999999,0.17821622993624023,3.1355299949645996
BA,4,uncorr,2,coop,1.8,0.1,0,0.9950649999999999,0.028753791581338086,3.4383108615875244
BA,4,uncorr,2,coop,1.8,0.1,1,1.0,0.0,3.386082172393799
BA,4,uncorr,2,coop,1.8,0.1,2,0.9809772999999999,0.0901609396361346,3.9761221408843994
BA,4,uncorr,2,coop,1.8,0.1,3,0.9965837999999999,0.024488098893837035,3.520268201828003
BA,4,uncorr,2,coop,1.8,0.1,4,0.9980632,0.01936799999999999,3.522503137588501
BA,4,uncorr,2,coop,1.8,0.1,5,0.9898621,0.06684794773025927,3.9647159576416016
BA,4,uncorr,2,coop,1.8,0.1,6,0.9982858,0.01714199999999998,3.5062811374664307
BA,4,uncorr,2,coop,1.8,0.1,7,0.9979756000000001,0.020243999999999995,3.574235200881958
BA,4,uncorr,2,coop,1.8,0.1,8,1.0,0.0,3.3679909706115723
BA,4,uncorr,2,coop,1.8,0.1,9,0.9892869000000001,0.02175050417133067,3.5886099338531494
BA,4,uncorr,2,defect,2.0,0.6,0,0.5694994999999999,0.06196429981257454,4.9511260986328125
BA,4,uncorr,2,defect,2.0,0.6,1,0.6211867,0.03563924766108967,5.675695896148682
BA,4,uncorr,2,defect,2.0,0.6,2,0.5630056,0.09416342055354317,6.166610240936279
BA,4,uncorr,2,defect,2.0,0.6,3,0.6222253999999999,0.07302830662507007,5.948752164840698
BA,4,uncorr,2,defect,2.0,0.6,4,0.5776344,0.06866313287935587,5.372797966003418
BA,4,uncorr,2,defect,2.0,0.6,5,0.5355906,0.09779997654272506,5.7911810874938965
BA,4,uncorr,2,defect,2.0,0.6,6,0.5826013,0.021427524291966822,4.8723671436309814
BA,4,uncorr,2,defect,2.0,0.6,7,0.6514634000000001,0.02501859842419458,5.173609972000122
BA,4,uncorr,2,defect,2.0,0.6,8,0.5906378,0.02647989966031222,4.868539810180664
BA,4,uncorr,2,defect,2.0,0.6,9,0.6388386000000001,0.06192953021920735,4.933283805847168
BA,4,uncorr,2,bistable,2.0,0.3,0,0.7069438000000001,0.21394138567043514,4.225988864898682
BA,4,uncorr,2,bistable,2.0,0.3,1,0.7646374999999999,0.18755421048716725,4.82935905456543
BA,4,uncorr,2,bistable,2.0,0.3,2,0.7245883000000001,0.22771415494814432,4.892493009567261
BA,4,uncorr,2,bistable,2.0,0.3,3,0.7467394000000002,0.18539543590984656,4.661144971847534
BA,4,uncorr,2,bistable,2.0,0.3,4,0.7109296,0.19782532765155333,4.817671060562134
BA,4,uncorr,2,bistable,2.0,0.3,5,0.6756501,0.2284274825869252,4.981651067733765
BA,4,uncorr,2,bistable,2.0,0.3,6,0.7369225,0.2034055168464854,4.300721883773804
BA,4,uncorr,2,bistable,2.0,0.3,7,0.7888235,0.1711528153102845,4.705723285675049
BA,4,uncorr,2,bistable,2.0,0.3,8,0.7848526000000001,0.20859831754369598,4.233510732650757
